,Site,Year,potato_intensity,Lon,Lat,CPBA,CPBL,Month,tavg,tmin,tmax,category,Prop_potato,Day_in_Month
1,1,2007,0.251576939,-89.59255366,44.01833313,0.1,0,6,19.04999972,12.19999981,25.89999962,Potatoes,0.189028651,4
2,10,2007,0.251576939,-89.59255366,44.01833313,3.1,1.2,8,19.94999981,13.60000038,26.29999924,Potatoes,0.189028651,6
3,1000,2017,0.16084,-89.50652363,43.74167171,2,10.7,7,21.74999953,15.19999981,28.29999924,Potatoes,0.1237,24
4,10000,2017,0.18164,-89.68950497,43.86351107,2.3,9,7,21.25000048,14.80000019,27.70000076,Potatoes,0.044,5
5,10001,2017,0.18164,-89.68950497,43.86351107,1.3,17.5,7,21.25000048,14.80000019,27.70000076,Potatoes,0.044,12
6,10002,2017,0.18164,-89.68950497,43.86351107,1,6.5,7,21.25000048,14.80000019,27.70000076,Potatoes,0.044,19
7,10003,2017,0.18164,-89.68950497,43.86351107,5,10.7,7,21.25000048,14.80000019,27.70000076,Potatoes,0.044,26
8,10004,2017,0.18164,-89.68950497,43.86351107,9.7,6.7,8,19.94999981,13.5,26.39999962,Potatoes,0.044,2
9,10005,2017,0.18164,-89.68950497,43.86351107,11.3,4.3,8,19.94999981,13.5,26.39999962,Potatoes,0.044,9
10,10006,2017,0.18164,-89.68950497,43.86351107,1.7,1,8,19.94999981,13.5,26.39999962,Potatoes,0.044,15
11,10007,2017,0.18164,-89.68950497,43.86351107,2,2.5,8,19.94999981,13.5,26.39999962,Potatoes,0.044,23
12,10008,2017,0.18164,-89.68950497,43.86351107,4.5,0,8,19.94999981,13.5,26.39999962,Potatoes,0.044,30
13,10009,2017,0.18164,-89.68950497,43.86351107,1.5,1,9,15.55000019,9,22.10000038,Potatoes,0.044,6
14,1001,2017,0.16084,-89.50652363,43.74167171,1.7,11.5,7,21.74999953,15.19999981,28.29999924,Potatoes,0.1237,31
15,1002,2017,0.16084,-89.50652363,43.74167171,3,3.7,8,20.44999981,14,26.89999962,Potatoes,0.1237,7
16,1003,2017,0.16084,-89.50652363,43.74167171,2,4,8,20.44999981,14,26.89999962,Potatoes,0.1237,14
17,1004,2017,0.16084,-89.50652363,43.74167171,2.5,1,8,20.44999981,14,26.89999962,Potatoes,0.1237,21
18,1005,2017,0.16084,-89.50652363,43.74167171,0,0,8,20.44999981,14,26.89999962,Potatoes,0.1237,28
19,1006,2017,0.16084,-89.50652363,43.74167171,0,0,9,15.75,9.100000381,22.39999962,Potatoes,0.1237,7
20,10095,2009,0.262828258,-89.77235195,43.87989085,0,0,6,19.05000019,12.10000038,26,Potatoes,0.1432,8
21,10096,2009,0.262828258,-89.77235195,43.87989085,0.2,0,6,19.05000019,12.10000038,26,Potatoes,0.1432,15
22,10097,2009,0.262828258,-89.77235195,43.87989085,0.4,0,6,19.05000019,12.10000038,26,Potatoes,0.1432,22
23,10098,2009,0.262828258,-89.77235195,43.87989085,0.1,4.7,6,19.05000019,12.10000038,26,Potatoes,0.1432,29
24,10099,2009,0.262828258,-89.77235195,43.87989085,0.1,4.1,7,21.34999991,14.80000019,27.89999962,Potatoes,0.1432,6
25,10100,2009,0.262828258,-89.77235195,43.87989085,0.6,1.4,7,21.34999991,14.80000019,27.89999962,Potatoes,0.1432,13
26,10101,2009,0.262828258,-89.77235195,43.87989085,0.4,0.4,7,21.34999991,14.80000019,27.89999962,Potatoes,0.1432,20
27,10102,2009,0.262828258,-89.77235195,43.87989085,0.1,0,7,21.34999991,14.80000019,27.89999962,Potatoes,0.1432,27
28,10103,2009,0.262828258,-89.77235195,43.87989085,2.1,0.4,8,20,13.5,26.5,Potatoes,0.1432,3
29,10104,2009,0.262828258,-89.77235195,43.87989085,0.6,1.6,8,20,13.5,26.5,Potatoes,0.1432,10
30,10105,2009,0.262828258,-89.77235195,43.87989085,0.8,1.7,8,20,13.5,26.5,Potatoes,0.1432,17
31,10106,2009,0.262828258,-89.77235195,43.87989085,0.3,1.1,8,20,13.5,26.5,Potatoes,0.1432,24
32,10107,2017,0.14412,-89.77235195,43.87989085,0,0,5,14.05000043,6.900000095,21.20000076,Potatoes,0.1123,31
33,10108,2017,0.14412,-89.77235195,43.87989085,0.3,0,6,19.05000019,12.10000038,26,Potatoes,0.1123,7
34,10109,2017,0.14412,-89.77235195,43.87989085,5,2,6,19.05000019,12.10000038,26,Potatoes,0.1123,15
35,10110,2017,0.14412,-89.77235195,43.87989085,4.3,26.7,6,19.05000019,12.10000038,26,Potatoes,0.1123,21
36,10111,2017,0.14412,-89.77235195,43.87989085,2.3,18,6,19.05000019,12.10000038,26,Potatoes,0.1123,27
37,10112,2017,0.14412,-89.77235195,43.87989085,2,12,7,21.34999991,14.80000019,27.89999962,Potatoes,0.1123,6
38,10113,2017,0.14412,-89.77235195,43.87989085,3.7,13.3,7,21.34999991,14.80000019,27.89999962,Potatoes,0.1123,12
39,10114,2017,0.14412,-89.77235195,43.87989085,0.2,2.7,7,21.34999991,14.80000019,27.89999962,Potatoes,0.1123,19
40,10115,2017,0.14412,-89.77235195,43.87989085,1.7,5,7,21.34999991,14.80000019,27.89999962,Potatoes,0.1123,26
41,10116,2017,0.14412,-89.77235195,43.87989085,0,1.2,8,20,13.5,26.5,Potatoes,0.1123,2
42,10117,2017,0.14412,-89.77235195,43.87989085,9,1.7,8,20,13.5,26.5,Potatoes,0.1123,9
43,10118,2017,0.14412,-89.77235195,43.87989085,4.5,3.5,8,20,13.5,26.5,Potatoes,0.1123,15
44,10119,2017,0.14412,-89.77235195,43.87989085,1,2,8,20,13.5,26.5,Potatoes,0.1123,23
45,10120,2017,0.14412,-89.77235195,43.87989085,0,0,8,20,13.5,26.5,Potatoes,0.1123,30
46,10121,2017,0.14412,-89.77235195,43.87989085,0.5,1,9,15.44999981,8.899999619,22,Potatoes,0.1123,6
